# FIX-956 + FIX-939 — merge-stub marker conversion manifest (prod, 2026-09-05)
# 86 stubs carrying the legacy scalar 'merged_fec_candidate_id'
# 86 CONVERT (exactly one elected survivor) / 0 REFUSED (0 or >1)
#
# REVERSAL RECIPE — source_ids_before is the verbatim pre-write value of each row.
# To undo a single row:
#   UPDATE public.officials SET source_ids = '<source_ids_before>'::jsonb WHERE id = '<stub_id>';
# To undo the whole set, replay that statement for every CONVERT row in this file.
#
stub_id	stub_name	stub_tier	stub_is_active	retired_fec_candidate_id	survivor_id	survivor_name	n_survivors	action	refusal_reason	source_ids_before
b6d6edeb-cb75-4a80-8ca8-5c3ef94c143c	S Krishnamoorthi	candidate	true	H6IL08147	b1db79b2-cf97-4cb1-8ecd-4d45df50d8a2	Raja Krishnamoorthi	1	CONVERT		{"merged_fec_candidate_id": "H6IL08147"}
48bc4910-b9aa-4806-b897-35540c35635b	Scott Peters	candidate	true	H2CA52089	e7fccd57-9406-452a-a96b-10384765418e	Scott H. Peters	1	CONVERT		{"merged_fec_candidate_id": "H2CA52089"}
cef7528d-41bf-4e51-8858-e989f91b5766	Sen. Boozman	candidate	true	S0AR00150	0dda6984-32b7-4d6e-88ec-d883763d63aa	John Boozman	1	CONVERT		{"merged_fec_candidate_id": "S0AR00150"}
bf646f79-f45a-434d-8fcf-6cf4ba714951	Steny Hoyer	candidate	true	H2MD05155	e3cc18ef-131d-424b-aa6f-18d7057de207	Steny H. Hoyer	1	CONVERT		{"merged_fec_candidate_id": "H2MD05155"}
19a86ba2-0e87-4f39-91dd-6c03b15d135e	Summer Lee	candidate	true	H2PA18200	b2c36d20-1aa2-4d02-b630-cdcccf8e0f42	Summer L. Lee	1	CONVERT		{"merged_fec_candidate_id": "H2PA18200"}
4719d31a-7db4-4f6f-b933-8442a1fb1f76	T Ossoff	candidate	true	S8GA00180	1376dc1e-f697-40b2-8c0f-780f8fe8ea00	Jon Ossoff	1	CONVERT		{"merged_fec_candidate_id": "S8GA00180"}
ea447629-1b27-4b78-a6b5-42b6454b1fd6	Theodore Budd	candidate	true	S2NC00505	1fce3e17-64a3-4be0-a692-bfa6063bba8b	Ted Budd	1	CONVERT		{"merged_fec_candidate_id": "S2NC00505"}
1f76ea3c-3fdb-4ca3-98dc-8d62d38a8af2	Thom Tillis	candidate	true	S4NC00162	2271adc1-254c-4bdf-ba8b-7112609680da	Thomas Tillis	1	CONVERT		{"merged_fec_candidate_id": "S4NC00162"}
53a27958-09bb-451d-ab7d-5bc631f4e4db	Thomas Barrett	candidate	true	H2MI07123	306b852e-a44a-464e-86e7-9e49afd5544b	Tom Barrett	1	CONVERT		{"merged_fec_candidate_id": "H2MI07123"}
f3089763-6efe-49fd-9454-35143c4d0f9f	Thomas Cotton	candidate	true	S4AR00103	033ba554-ee71-4609-b531-1252ce4ee531	Tom Cotton	1	CONVERT		{"merged_fec_candidate_id": "S4AR00103"}
22e289f0-914c-4831-b239-14f96391fb86	Thomas Emmer	candidate	true	H4MN06087	9b84f3bd-c38c-468e-9217-d5306418bc3d	Tom Emmer	1	CONVERT		{"merged_fec_candidate_id": "H4MN06087"}
65c7e642-578a-4b85-8bfe-719422bf3677	Thomas Mcclintock	candidate	true	H8CA04152	f03d57d7-dc2f-4bfc-96ca-dbd2289b6b36	Tom McClintock	1	CONVERT		{"merged_fec_candidate_id": "H8CA04152"}
1c22ba19-8ef6-4aee-9a52-333f29fc6596	Thomas Tuberville	candidate	true	S0AL00230	cf7cddcc-cf96-4c3d-8681-48b3e6c05d41	Tommy Tuberville	1	CONVERT		{"merged_fec_candidate_id": "S0AL00230"}
f2b6928b-d4fd-4945-a8e8-402b8078b7c9	Timothy Evans	candidate	true	H4CO08034	b5f4de8b-4917-4b97-baab-a5dc6d5de991	Gabe Evans	1	CONVERT		{"merged_fec_candidate_id": "H4CO08034"}
34839e7e-7ef7-44c3-8b1b-8a904eebe03b	Timothy Walberg	candidate	true	H4MI07103	840ac131-9903-4548-ab91-3e4c4fcde099	Tim Walberg	1	CONVERT		{"merged_fec_candidate_id": "H4MI07103"}
70e0471a-2168-485a-a565-c80e96f9c61e	Tom Tiffany	candidate	true	H0WI07101	c6dbd5bb-cb0e-4974-bcb7-a3ac47ec973e	Thomas P. Tiffany	1	CONVERT		{"merged_fec_candidate_id": "H0WI07101"}
2da760d8-ea96-44d1-9383-2277a42078df	Walter Ezell	candidate	true	H2MS04258	9af8cd01-f740-4162-b2f1-d1fd15c008b7	Mike Ezell	1	CONVERT		{"merged_fec_candidate_id": "H2MS04258"}
4cf279fd-ca97-43a9-b772-3ba2ecf7c9da	William Balderson	candidate	true	H8OH12180	ddf04728-27d1-429f-ad73-be67a097ffdf	Troy Balderson	1	CONVERT		{"merged_fec_candidate_id": "H8OH12180"}
53ab8049-18fc-4b82-a2b9-3b39018c52b4	William Cassidy	candidate	true	S4LA00107	fa237ff5-a496-4f4a-97cb-fed07a08efd0	Bill Cassidy	1	CONVERT		{"merged_fec_candidate_id": "S4LA00107"}
877a9f19-0d20-45e2-8991-780ce39d945c	William Huizenga	candidate	true	H0MI02094	afe9df3f-872d-4f8b-855f-bc7c91432215	Bill Huizenga	1	CONVERT		{"merged_fec_candidate_id": "H0MI02094"}
7eeb285f-a294-4793-a6b8-33c3e21fdaaa	William Timmons	candidate	true	H8SC04250	df7b7d78-1a73-4a20-a2f7-ff5dea800bda	William R. Timmons	1	CONVERT		{"merged_fec_candidate_id": "H8SC04250"}
b2f58622-674b-49f3-9c51-addfb15a6451	Yevgeny Vindman	candidate	true	H4VA07234	0b87ad8d-9d9c-4a0c-897a-22e5324d003d	Eugene Simon Vindman	1	CONVERT		{"merged_fec_candidate_id": "H4VA07234"}
