holder_id	full_name	role_title	tier	jurisdiction	holder_fec_id	verdict	holder_rows	shared_rows	stale_rows	stale_usd	stale_share	live_rows_newer_than_contamination	owner_name	owner_fec_id	owner_role
a9ec94d8-72ad-4d71-b60f-d29efbcb5d2b	Jay Nath	Council Member	elected	SF	H4WI04282	REFUSE-weak-overlap	21	21	21	11712.00	1.0000	0	Purnima Nath	H4WI04282	Candidate for Representative
346fabb6-fb16-4dca-8203-572333cc44b7	Jordan Feldman	Council Member	elected	AUS	H4NC10146	REFUSE-weak-overlap	19	19	19	11505.00	1.0000	0	Steven Feldman	H4NC10146	Candidate for Representative
b06aff16-5cf1-4422-a662-c3dcde2417e6	Jim Jordan	Representative	elected	OH	H6OH04082	REFUSE-weak-overlap	4630	6	6	11500.00	1.0000	4631	Paulette Jordan	S0ID00180	Candidate for Senator
d5eecfa6-55eb-49df-affd-2d63df8ed49d	Dave Wilson	Candidate for Representative	candidate	WA	H0WA05133	REFUSE-weak-overlap	5	4	4	11500.00	1.0000	0	Frederica S. Wilson	H0FL17068	Representative
9998c3fa-aaca-4946-bf93-673e772b10e4	Christian Collins	Candidate for Representative	candidate	TX	H2TX08273	REFUSE-weak-overlap	3	1	1	11281.00	1.0000	9	Michael Collins	H4GA10071	Candidate for Representative
ee09025f-9725-4e29-9198-7d7eee8cb1c6	Starr Terrell	Council Member	elected	SF	H6IA01171	REFUSE-weak-overlap	4	4	4	10825.00	1.0000	0	Travis Terrell	H6IA01171	Candidate for Representative
91fb4d10-f71a-4adb-a802-8edff869eee8	C.L. Smith	Candidate for Senator	candidate	VA	S4VA00197	REFUSE-weak-overlap	228	20	8	10501.00	0.4000	112	Sandy Smith	H0NC03149	Candidate for Representative
7505cd41-dc3a-430f-82ee-6454c303209a	Daniel Meuser	Representative	elected	PA	H8PA10147	REFUSE-weak-overlap	1643	7	7	10497.00	1.0000	22	Mark Meuser	S2CA01060	Candidate for Senator
a76d1695-f6a4-4207-8e70-4d6a5d367372	Sandy Smith	Candidate for Representative	candidate	NC	H0NC03149	REFUSE-weak-overlap	221	20	10	10351.00	0.5000	89	C.L. Smith	S4VA00197	Candidate for Senator
773e3853-f751-4145-bd10-466be3073010	John Gibbs	Candidate for Representative	candidate	MI	H2MI03197	REFUSE-weak-overlap	82	5	1	10000.00	0.2000	40	Robert Gibbs	H0OH18077	Candidate for Representative
75f40cec-b911-4e9d-87a4-826c4cf03ae8	Terri Sewell	Candidate for Representative	candidate	AL	H0AL07086	REFUSE-weak-overlap	874	1	1	10000.00	1.0000	246	Briana Sewell	H4VA07259	Candidate for Representative
79ebcaa1-eade-4da4-8150-16a3101500cf	Nicolee Ambrose	Candidate for Representative	candidate	MD	H2MD02368	REFUSE-weak-overlap	27	1	1	10000.00	1.0000	16	Mark Ambrose	H2MI11265	Candidate for Representative
85f98013-33b1-4116-a460-3b1b2745dc3c	William Kelly	Candidate for Representative	candidate	GA	H6GA14284	REFUSE-weak-overlap	37	2	2	10000.00	1.0000	34	Mike Kelly	H0PA03271	Representative
575ab5cc-73c5-4353-9dae-44ed83a77e72	James Wilkinson	Federal Judge	elected	US		REFUSE-weak-overlap	1	1	1	10000.00	1.0000	0	Margarita Wilkinson	H4CA49164	Candidate for Representative
ac34ff0a-b8e5-4146-ba75-455e153abe71	Arthur Johnson	Candidate for Representative	candidate	GA	H2GA02163	REFUSE-weak-overlap	58	2	2	10000.00	1.0000	2	Mike Johnson	H6LA04138	Representative
af13476d-0dd6-46dd-bdcb-9b9b00cc2b9b	Susan Brooks	Candidate for Representative	candidate	IN	H2IN05082	REFUSE-weak-overlap	82	10	6	10000.00	0.6000	1	Mo Brooks	H0AL05163	Candidate for Representative
3c4cc860-c4d5-445d-bf27-ff5e310a9e2a	Douglas Collins	Candidate for Senator	candidate	GA	S0GA00567	REFUSE-weak-overlap	63	4	2	10000.00	0.5000	37	Joe Collins	H0CA43108	Candidate for Representative
2871bb63-1c44-4a10-948f-07d60308416a	William R. Keating	Representative	elected	MA	H0MA10082	REFUSE-weak-overlap	820	13	13	10000.00	1.0000	753	Patrick Keating	H6IL02397	Candidate for Representative
0a59ec0e-73fb-4f31-894b-e017c1a48f35	Peter Welch	Candidate for Representative	candidate	VT	H6VT00160	REFUSE-weak-overlap	280	3	2	10000.00	0.6667	184	Lisa Welch	H0TX12238	Candidate for Representative
f590f383-5e5b-4e36-9299-af40602cf5b4	Janell Wegman	Council Member	elected	SF	H6PA16338	REFUSE-weak-overlap	2	2	2	10000.00	1.0000	0	Gary Wegman	H6PA16338	Candidate for Representative
09b209ec-dad7-45be-b1c8-d9187edeb0f0	Diane Bush	Candidate for Representative	candidate	CO	H8CO03192	REFUSE-weak-overlap	99	11	3	10000.00	0.2727	26	Cori Bush	H8MO01143	Candidate for Representative
f7f45f56-f5d9-454c-b907-c97a236bd62a	George Scott	Candidate for Representative	candidate	PA	H8PA04090	REFUSE-weak-overlap	2	1	1	10000.00	1.0000	1	Robert C. "Bobby" Scott	H6VA01117	Representative
