# FIX-1106 emit-set residue manifest -- prod -- generated 2026-09-22T04:22:42.006Z
# cycle=2026 source=fec_bulk_indiv run_id=748aef69-4dd5-5cf9-bd75-570f482bc8dc complete_at=2026-09-21 00:20:29.915408+00
# emit set 1,015,185 keys; slice 1,059,817 rows / $1,314,241,322
# DROPPED-OUT 36 recipients / 19397 rows / $31,130,142
# PARTIAL     427 recipients / 25235 rows / $36,181,097
# This file is an AUTHORISATION, not a description. The apply re-checks every
# row-level fact keyed on these ids and SKIPS anything that grew since.
class	to_type	to_id	name	rows	cents	last_write	emitted_rows
PARTIAL	official	0f08f763-6b2b-4bce-b377-d7df6a2332b5	Dwayne Romero	2	1150000	2026-07-27 07:10:55.610607+00	262
PARTIAL	official	cb7be5fd-2b38-4f09-a75d-e3e58fd920c2	Brian J. Mast	1	1100000	2026-05-03 00:40:32.128775+00	2075
PARTIAL	official	8efa0cd9-ebe9-4318-abc7-1bc7885cd490	John R. Moolenaar	5	1100000	2026-07-13 06:57:16.015509+00	473
PARTIAL	official	68d103a3-b329-4abf-b4ab-6d3eeaec87bb	Dan Osborn	8	1095000	2026-07-27 07:10:55.610607+00	2832
PARTIAL	official	378629ab-b12f-476b-8a24-e0b6fe871b01	Angie Craig	10	1057200	2026-08-24 04:40:15.07339+00	5516
PARTIAL	official	b5881558-2234-4aef-9352-42c90c436d0f	Bob Brooks	21	1050000	2026-07-27 07:36:23.18216+00	1051
PARTIAL	official	298a5eeb-0ead-41a2-9e99-230a47d5c0bc	Jon Husted	8	1000000	2026-07-13 06:46:04.763882+00	2904
PARTIAL	official	eceb16b3-18be-4b74-b1ba-7008300037e4	Rushern Baker	7	1000000	2026-06-28 07:42:32.254734+00	305
PARTIAL	official	2871bb63-1c44-4a10-948f-07d60308416a	William R. Keating	13	1000000	2026-05-03 00:40:53.460121+00	200
PARTIAL	official	b9f695d4-1b3e-4fd6-87a2-c9f1b1673605	Wesley Bell	10	985800	2026-07-10 06:11:44.846457+00	1978
PARTIAL	official	43ab79ec-bf25-4e9a-a3b3-79694bb04161	Andrew Ogles	4	957600	2026-09-17 00:23:44.88845+00	192
PARTIAL	official	4b0432cc-b13d-42bf-8a47-9240c1a7df38	Colin Allred	8	955000	2026-08-24 04:40:47.130069+00	1535
PARTIAL	official	2f3221ab-9c56-4ab1-a980-bf22b89a5ba7	Aaron Flint	6	908000	2026-08-24 04:27:50.828803+00	494
PARTIAL	official	cd92e345-6236-448d-b20d-b062da845219	Kaylee Peterson	8	905000	2026-06-28 07:45:19.839933+00	116
PARTIAL	official	14ab20b7-1fb5-4e64-b76d-acaa3c56c52f	Seth Bodnar	6	901400	2026-07-27 07:03:49.919262+00	1523
