# FIX-1106 emit-set residue manifest -- prod -- generated 2026-09-22T04:26:06.156Z
# cycle=2026 source=fec_bulk_pac run_id=2fe769fb-8307-5b02-9657-9799dfcc44ea complete_at=2026-09-20 22:54:52.472768+00
# emit set 112,592 keys; slice 114,893 rows / $440,080,672
# DROPPED-OUT 18 recipients / 315 rows / $1,290,240
# PARTIAL     194 recipients / 1986 rows / $7,811,207
# This file is an AUTHORISATION, not a description. The apply re-checks every
# row-level fact keyed on these ids and SKIPS anything that grew since.
class	to_type	to_id	name	rows	cents	last_write	emitted_rows
PARTIAL	official	3915afdf-ca24-4512-b8c3-8d09b840528b	Raul Ruiz	2	300000	2026-09-13 22:55:44.110484+00	265
PARTIAL	official	18ff5677-a85d-426d-8a22-6b615cc003d0	Sarah Trone Garriott	1	300000	2026-08-08 03:34:43.917805+00	117
PARTIAL	official	ad19d059-43bf-4671-b47a-70e9896924ca	Janelle Stelson	1	300000	2026-08-08 03:34:43.917805+00	144
PARTIAL	official	5c2f365b-c6e8-4979-b971-b1367370b1e5	Christina Bohannan	1	300000	2026-08-08 03:34:43.917805+00	127
PARTIAL	official	22a4b727-05b3-4cf5-9a56-c28be63c8254	Steve Womack	1	300000	2026-08-03 05:48:48.60994+00	224
PARTIAL	official	dd3e0bf8-3a8a-4bf3-b44c-e59cd6f558cc	Paige Cognetti	1	300000	2026-08-08 03:34:43.917805+00	124
PARTIAL	official	dfd9dd3c-8d53-4bf3-8609-a5aebd73f5dd	Elissa Slotkin	1	250000	2026-08-08 22:51:53.536906+00	20
PARTIAL	official	6148b393-1a7e-4129-866a-26219278c5f2	Peter Welch	1	250000	2026-07-09 06:14:24.282529+00	19
PARTIAL	official	a7913d40-d429-46f1-a50b-468ac89e2cd8	Anthony Vargas	1	250000	2026-08-08 03:34:43.917805+00	1
PARTIAL	official	0696a54b-ffcd-4982-9ac8-f3cd75eaa91a	Darin LaHood	1	250000	2026-07-12 05:41:22.90652+00	454
PARTIAL	official	c188643b-c931-46e0-84ec-6496c723a59c	Jared Moskowitz	1	250000	2026-08-08 03:34:43.917805+00	186
DROPPED-OUT	official	c8ca6afd-d8f1-4afd-a286-c75a0c5fe97b	W Luetkemeyer	1	250000	2026-05-31 06:53:34.536129+00	0
PARTIAL	official	2e09c070-376c-4417-9a8e-9f04bf4ab72b	John Barrasso	1	250000	2026-07-08 05:33:13.029371+00	151
PARTIAL	official	db106625-9403-4426-96ee-e7baac395043	John Fetterman	1	250000	2026-07-19 05:36:08.659913+00	17
PARTIAL	official	2450fd78-13e4-4635-b142-d9014380bad4	Chris Pappas	1	250000	2026-08-08 03:35:05.588567+00	160
PARTIAL	official	1b5d5491-d0b2-4660-b62f-6f415f96288d	Morgan McGarvey	1	250000	2026-09-01 00:31:01.587865+00	185
PARTIAL	official	1a30221d-0447-4c0a-8264-95698d83341d	Johnny Garcia	2	250000	2026-08-08 03:34:43.917805+00	80
PARTIAL	official	833499a2-083c-47a0-b4c6-548f1aa3c03d	Katie Boyd Britt	1	250000	2026-06-28 06:28:22.0141+00	170
PARTIAL	official	68034a67-4c75-4363-ae00-f4cd2ebc1a41	Tina Shah	1	250000	2026-08-17 03:11:57.678372+00	20
PARTIAL	official	f2e35edd-e242-4919-890f-b8ca7fe0d9bd	Martin Heinrich	1	231300	2026-07-06 07:57:32.606053+00	182
PARTIAL	official	676e2193-a300-475a-b1c7-3c5fe86f692a	Pia Dandiya	1	200100	2026-08-17 03:11:57.678372+00	24
PARTIAL	official	f136ba66-8ac8-480e-a0b9-87d5a392c701	Adam Hamilton	1	200100	2026-08-17 03:11:57.678372+00	5
PARTIAL	official	cf7cddcc-cf96-4c3d-8681-48b3e6c05d41	Tommy Tuberville	1	200000	2026-07-30 22:40:05.852089+00	44
DROPPED-OUT	official	04d5600a-3320-4564-8c9c-73caa47b5ebf	James Lally	1	200000	2026-08-08 03:34:53.277327+00	0
PARTIAL	official	c360d1bc-b203-4337-a204-48aa53d1fcb5	Roger Williams	1	200000	2026-08-08 21:56:29.828753+00	136
DROPPED-OUT	official	2eac7f30-ba7a-4fbc-8d02-147984c4cc3f	Ashley Wolftornabane	1	200000	2026-07-19 05:36:39.161908+00	0
PARTIAL	official	b2f60fdf-9e61-4fa5-a1cc-6a9917df1a76	Brian Poindexter	2	200000	2026-09-07 07:15:10.683876+00	38
PARTIAL	official	fca6bb66-7b1a-44d1-a108-3169e885c3ef	Danny K. Davis	2	200000	2026-05-02 22:37:13.582977+00	14
PARTIAL	official	77e50adb-f015-422f-88db-b96e052b22c3	S Krishnamoorthi	1	200000	2026-07-19 05:36:28.80095+00	96
PARTIAL	official	9e6b66e1-09d5-49cf-83dd-bff1a8700ea7	Tammy Duckworth	1	200000	2026-08-08 03:34:53.277327+00	74
PARTIAL	official	9334b652-2fe2-466f-b5ab-b8afbcd8f4bb	Mike Kelly	1	200000	2026-07-30 22:40:05.852089+00	263
PARTIAL	official	a1766a0b-a4ee-4117-afb6-6aec28a1af18	Gilbert Cisneros	1	150000	2026-07-19 05:36:08.659913+00	57
PARTIAL	official	38bfbdeb-11a9-49d9-b95c-3fba8c4f79ff	Rebecca Cooke	1	150000	2026-08-08 03:34:43.917805+00	136
PARTIAL	official	89e08fae-4144-4fd2-90f3-cbfecb64e788	Madeleine Dean	2	150000	2026-07-08 05:43:53.441521+00	235
PARTIAL	official	c3282b72-fa04-4876-8fd6-e5f0fe353573	Bale Dalton	1	150000	2026-08-08 03:34:43.917805+00	49
PARTIAL	official	716416ef-54f9-4b9d-aef4-54f33b9e1d0a	Rachel Wallace	1	150000	2026-08-17 03:11:57.678372+00	15
PARTIAL	official	63415f29-9934-44a2-aa03-096193847b00	Bobby Pulido	1	150000	2026-08-08 03:34:43.917805+00	90
PARTIAL	official	094be99e-d059-4558-82a1-8a24c4b2c98c	Alex Padilla	1	150000	2026-08-08 03:35:26.632984+00	71
