official_id	full_name	first_name	tier	role_title	jurisdiction	is_active	stored_fec_id	verdict	total_rows	total_usd	own_rows	own_usd	cross_rows	cross_usd	diverted_rows	diverted_usd	trial_moved	trial_collided	trial_collision_rate	cross_amount_mismatch_rows	cross_suspect_excess_usd	cross_owner_excess_usd	same_person_owner_fec_ids	cross_person_owner_fec_ids	best_owner_name	best_owner_fec_id	best_owner_relation	best_owner_holding_usd	best_owner_shared_rows	owner_count	zero_owner_fec_ids	diverted_cycles	first_at	last_at
78e5a333-3b26-48f0-880a-07ab29877f46	Mark Bennett	Mark	elected	Federal Judge	US	true		DUPLICATED	1205	1837966.00	0	0.00	1205	1837966.00	0	0.00	141	1064	0.8830	210	0.00	202710.00		H6NJ07201,H6CA06268,H4GA03050,H0NC11191,H6VA11082,H0ME02075,H6CO07122,H8IL10115	Rebecca Bennett	H6NJ07201	CROSS	2387584.00	1064	8	H0NJ02163,H2SC04162,H6AZ01173,H6NC02197,S2FL00540,S4FL00751,S6IL00391		2019-07-22	2026-03-26
0089ae50-b066-489a-912c-bea2415767bb	Sage Lawrence	Sage	elected	Council Member	SEA	false	H6NC11230	DUPLICATED	655	1753417.00	0	0.00	655	1753417.00	0	0.00	375	280	0.4275	50	0.00	43290.00		H2MI14111,H6MI07298,H4UT03278,H6NC11230,H6AR03136	Brenda Lawrence	H2MI14111	CROSS	939677.00	280	5	H0TX27079,H4MI06139,H6MN02123,H6NH02238,H6NY16132,H8PA01245		2019-01-16	2026-02-06
e3f8781d-7ab8-4b55-be88-4d8976b2c8dc	Jane Roth	Jane	elected	Federal Judge	US	true		MIXED	724	1734583.00	0	0.00	721	1723283.00	3	11300.00	345	379	0.5235	68	1000.00	47808.00		H6NJ07235,H4WI08085,H4ID02089,H4MO08238,S6ID00138,H0WI08117	Michael Roth	H6NJ07235	CROSS	817237.00	379	6	H0NY19170,S2CA01326,S2ID00178	2026	2023-06-02	2025-12-31
baa7e023-aced-4ba3-8472-ad50f39dd342	Gena McKinley	Gena	elected	Council Member	AUS	false	H0WV01072	DUPLICATED	464	1652618.00	0	0.00	464	1652618.00	0	0.00	1	463	0.9978	0	0.00	0.00		H0WV01072,H6WA04141	David Mckinley	H0WV01072	CROSS	1649000.00	463	2	P00012138		2019-01-25	2022-09-01
80605517-664f-496e-943d-864e83fe03a9	Teresa Dixon	Teresa	elected	Council Member	AUS	false	H6NJ12359	DUPLICATED	773	1575179.00	0	0.00	773	1575179.00	0	0.00	30	743	0.9612	0	0.00	0.00		H4CA16247,H2SC06134,H6AL06135,H4NC13124	Peter Dixon	H4CA16247	CROSS	1558795.00	743	4	H2TX30160,H4TX20043,H6GA12106,H6WI04089,P00005470,P40011132,P80009053,S2SC00186,S8MO00335		2023-04-05	2025-12-15
05297151-af7c-4b38-a6e3-b5edb81b25f4	Yvette Mendoza	Yvette	elected	Council Member	AUS	false	H6NJ07268	DUPLICATED	1185	1571436.00	0	0.00	1185	1571436.00	0	0.00	230	955	0.8059	183	0.00	252397.00		H6AZ06099,H6IL07495,H4AZ03158,H6NJ07268	Joanna Mendoza	H6AZ06099	CROSS	3497899.00	955	4	H0CA38165,H2CA37338,H6CA53062,H6LA02173,H8CA34191,S2LA00184,S6LA00409		2024-05-10	2026-03-27
f2331645-9426-4a71-b016-97ea4c39b4f9	Joy Hollingsworth	Joy	elected	Council Member	SEA	true	H6IN09176	DUPLICATED	450	1490344.00	0	0.00	450	1490344.00	0	0.00	0	450	1.0000	0	0.00	0.00		H6IN09176	Trey Hollingsworth	H6IN09176	CROSS	1490344.00	450	1			2019-01-28	2024-01-01
541e5b70-4ac7-4a7c-b359-7b2da368b3f4	HB Harper	HB	elected	Council Member	SEA	false	H6SC05178	MIXED	1566	1444024.00	0	0.00	1565	1443024.00	1	1000.00	27	1539	0.9828	0	0.00	0.00		S4MI00553,H6SC05178,S2OH00469,H0IN01143,H0OH03103,H2TX04140	Frank Harper	S4MI00553	CROSS	1407119.00	1539	6	H2AZ09258,H6TX32100,H8MS03067,P00011510,S2SC00194	2024	2019-12-11	2025-07-31
11ccb82f-3150-4ebe-b71c-41c37ff80caa	Jacquel Gibbs	Jacquel	elected	Council Member	AUS	false	H6CA27306	DUPLICATED	467	1394118.00	0	0.00	467	1394118.00	0	0.00	207	260	0.5567	18	39000.00	16951.00		H0OH18077,H6CA27306,H2MI03197,H0NJ03211,H0OH04119	Robert Gibbs	H0OH18077	CROSS	808045.00	260	5	S4MD00640		2019-01-24	2025-12-18
668393bd-42bf-40db-80e2-49fbd28e33e5	Jesse Franz	Jesse	elected	Council Member	SEA	false	H4WA06109	DUPLICATED	943	1316422.00	0	0.00	943	1316422.00	0	0.00	0	943	1.0000	0	0.00	0.00		H4WA06109	Hilary Franz	H4WA06109	CROSS	1316422.00	943	1			2023-11-10	2024-11-04
