# FIX-937 — non-federal-role officials carrying an FEC H/S/P CAND_ID (INACTIVE, prod, 2026-09-05)
# 115 officials, 62 holding fec_bulk donation rows
# 2,590 rows / $4,459,571.00
# with a federal official legitimately holding the same CAND_ID: 62
#
# A Council Member / Article III judge cannot stand for federal office, so the
# carried CAND_ID is not theirs and these donation rows are another person's money.
# REMEDIATION goes through the FIX-954 machinery (audit -> manifest -> apply ->
# rollup tail), NEVER a bare DELETE — the deleted rows' recipients must go dirty
# so jobid 24's donor-rollup regime rebuilds them.
#
official_id	full_name	role_title	tier	is_active	jurisdiction	carried_cand_id	federal_owner_id	federal_owner_name	federal_owner_role	fec_rows	fec_cents	cycles	first_at	last_at
dfffc926-fc42-4b03-a05f-2c32f6756566	Eileen McHugh	Council Member	elected	false	SF	H0PA06175	5f42493c-c066-4f56-adc7-503a7b5c2128	John Mchugh	Candidate for Representative	0	0	0		
d76ebf28-d65c-4571-9d03-908887c2c085	Christina Mendez	Council Member	elected	false	AUS	H6CA40366	934e0358-21c8-4620-8fa3-0a389aefc8ee	Christian Mendez	Candidate for Representative	0	0	0		
34a174e9-582b-4bc4-81a2-dcf17991391e	Nicole Huff	Council Member	elected	false	AUS	H2LA05274	84fd43b7-1df0-45ce-8c47-e85653b96053	Walter Huff	Candidate for Representative	0	0	0		
e9aa2207-27b3-4c47-8c2d-9ae5ffa2d935	Yolanda McKnight	Council Member	elected	false	AUS	H2TN05297	dff22c3f-9e80-4501-9792-a94472a32ee7	Quincy Mcknight	Candidate for Representative	0	0	0		
24bbf791-91d7-493d-bbe2-a85d0779ae17	Cindy Lott	Council Member	elected	false	AUS	H2MI08162	f70f9024-a261-4e23-8bc4-863e0ea02a63	Cherie Lott	Candidate for Representative	0	0	0		
dba9ecd8-b9f2-4d03-a2cd-fbfc8f239b32	Briana Holt	Council Member	elected	false	AUS	S2OH00451	9f82fede-1b2a-4171-8776-7f4dfe4a09a7	Mike Holt	Candidate for Senator	0	0	0		
7a329b3d-a21b-43c4-9fcd-02db159abb34	Karl Stephenson	Council Member	elected	false	AUS	H2WA08216	fb6cc3a7-e816-4003-b45c-31a1653170ee	Scott Stephenson	Candidate for Representative	0	0	0		
06b24c80-54b0-4beb-930c-de59c55116f9	Victoria Rieger	Council Member	elected	false	AUS	H8PA03126	7d7a755c-88bc-4caa-be5b-c504683b91fa	Chris Rieger	Candidate for Representative	0	0	0		
e3d410c8-b3b7-494f-ab93-9187991303b7	Latonia Stokes	Council Member	elected	false	SF	S6CA00873	1b88025c-b853-450b-a544-5b7864a9a0ef	Steve Stokes	Candidate for Senator	0	0	0		
f4c8e58d-a153-4ff6-8f24-ee89165e9392	Marija Jukic 	Council Member	elected	false	AUS	H6OH14248	b6bcee11-c477-4930-85f3-d47f05f888f6	Maria Jukic	Candidate for Representative	0	0	0		
82cfb52e-2aa6-4504-b988-2370e09a7b82	Paula Hoff	Council Member	elected	false	SEA	P40007577	1fcc980b-be8a-4161-b057-dd77fadbeb91	Samuel Hoff	Candidate for President	0	0	0		
caa0450f-a128-4a8a-ab3c-abcfe599c0d6	Jeanette Blankenship	Council Member	elected	false	SEA	S8WV00150	935b2a2f-6d39-40df-9aca-253384ace422	Don Blankenship	Candidate for Senator	0	0	0		
78841483-0820-40ec-905b-4b5043f41b8a	Sarah Ballard	Council Member	elected	false	SF	S0MT00116	373b0afc-d861-4b1d-8531-32116450a1b8	Jack Ballard	Candidate for Senator	0	0	0		
7fc27801-d676-4fcc-93f9-6a72ab046853	Petra DeJesus	Council Member	elected	false	SF	P40015703				0	0	0		
508172cc-4bed-4712-94a3-4c237e0f84a6	Matt Haney 	Council Member	elected	false	SF	H2CO00035	3fe36809-5aa6-45c0-8936-4c8daf4c2834	Perry Haney	Candidate for Representative	0	0	0		
e2c41141-cc0a-4a7b-bbcc-53c361c71b1d	Carmen Malone	Council Member	elected	false	AUS	H8MA03213	aa8f1519-60d5-4bf0-9ac8-19799a9f5f8c	Bopha Malone	Candidate for Representative	0	0	0		
113d7403-a392-4f75-b840-194a45dce3dc	Mark Solomon	Council Member	elected	false	SEA	H2CA16159	d03a86f3-12de-4d42-8fd4-1d79699a2560	Benjamin Solomon	Candidate for Representative	0	0	0		
