branch	decided_by	official_id	full_name	tier	is_active	role_title	jurisdiction	stored_fec_id	totals_table_cents	donation_cents	donation_rows	first_at	last_at	twin_id	twin_name	twin_tier	twin_fec_id	twin_fec_state	state_agrees	twin_total_cents	shared_pairs	overlap_frac
UNIQUE HOLDER		15b805f5-f526-42a0-ac4d-0d3c3368c7b8	Joe Silva	elected	false	Council Member	AUS	H4WA01282	105000	105000	3	2024-02-01	2024-09-20	8bb1ab24-cdf9-43c2-88e2-290fad2980bb	Thomas Silva	candidate	H4CA07089	CA	false	105000	3	1.0000
UNIQUE HOLDER		ebd49f2e-6ccb-40e5-91d6-ea955392c7d8	Maxwell Burke	elected	false	Council Member	SEA	H6TN01537	102800	102800	4	2023-03-13	2026-03-06	f97b3979-3791-4159-8edb-fba08cfc9906	Robert Burke	candidate	H2MA08090	MA	false	77800	3	0.7500
UNIQUE HOLDER		541e5b70-4ac7-4a7c-b359-7b2da368b3f4	HB Harper	elected	false	Council Member	SEA		100000	100000	1	2024-01-26	2024-01-26								0	0.0000
UNIQUE HOLDER		5a8a21dd-c027-4417-bb00-4d4de6e90c0a	Rey Arellano	elected	false	Council Member	AUS	H6CA49136	100000	100000	1	2025-05-15	2025-05-15	72f921de-7e5f-4bb1-976d-364abed7a26d	Julian Arellano	candidate	H6CA49136	CA	false	100000	1	1.0000
UNIQUE HOLDER		1fb0f2a8-bfce-4592-b784-e45fae070602	David Potter	elected	false	Council Member	AUS	H0OH07153	100000	100000	1	2020-08-28	2020-08-28	477366e6-0618-4d41-a944-d767a69826fa	Quentin Potter	candidate	H0OH07153	OH	false	350000	1	1.0000
UNIQUE HOLDER		fc2bd152-60f1-44a7-9890-b06023a1d949	Theresa Sparks	elected	false	Council Member	SF	H0CA45129	100000	100000	1	2020-02-11	2020-02-11	a56fb4b6-3931-4a75-ad95-7149b80b128a	Lisa Sparks	candidate	H0CA45129	CA	false	11396200	1	1.0000
UNIQUE HOLDER		c36a5893-c051-43bc-ab96-10b506fb9280	Micah Ellison	elected	false	Council Member	SEA	S2FL00458	100000	100000	1	2021-03-22	2021-03-22	0c1b071b-4855-457b-9929-193e581ed4bc	Allen Ellison	candidate	S2FL00458	FL	false	2770000	1	1.0000
UNIQUE HOLDER		aa76cc1b-ff34-42e8-8cbc-c009d4f7a6ae	Gloria Esparza	elected	false	Council Member	AUS	H6TX28082	100000	100000	2	2025-06-04	2025-06-04	14c0c205-3e02-448b-8592-b6b27643b3c8	Juan Esparza	candidate	H6TX28082	TX	false	100000	2	1.0000
UNIQUE HOLDER		7d815d3e-c7da-4ff9-8c19-86f0ac908ede	James Wynn	elected	true	Federal Judge	US		74600	74600	1	2024-10-10	2024-10-10	2be575df-eec1-4af6-a34a-14bfdd28d4e2	Douglas Wynn	candidate	H4NJ03270	NJ	false	74600	1	1.0000
UNIQUE HOLDER		83f08955-3355-4d11-bccd-bdf2edfeb987	Monica Kaspar	elected	false	Council Member	AUS	H2IL06132	66900	66900	1	2022-05-22	2022-05-22	08de7133-05fe-46a6-8f42-f6a045c8bc5a	Scott Kaspar	candidate	H2IL06132	IL	false	7101500	1	1.0000
UNIQUE HOLDER		70d9bb3e-fe77-4a84-80df-19b8438b3bf9	Esther Montoya	elected	false	Council Member	AUS	H6AZ01413	50000	50000	1	2025-12-06	2025-12-06	0120c84e-f115-4e1c-a825-84d18a68c383	Angie Montoya	candidate	H6AZ01413	AZ	false	50000	1	1.0000
UNIQUE HOLDER		1ecfb3dc-8518-4312-8b93-d83f09de9d09	Elizabeth Funk	elected	false	Council Member	AUS	H0IL12092	25000	25000	1	2020-01-03	2020-01-03	04156415-6982-4034-8d6b-a2571f357504	Joel Funk	candidate	H0IL12092	IL	false	25000	1	1.0000
