class	name_signal	survivor	role_title	state	district	surv_fec	stub	stub_fec	stub_rows	stub_cents_all	stub_cents_donation	surv_rows	surv_cents_donation	collide_keys	collide_frac_of_stub	stub_votes	stub_external_rels	stub_ec_nonmoney	surv_id	stub_id
A-double-claim	agrees	Mark Harris	Representative	NC	8	H4NC08066	Mark Harris	H4NC08066	76	216812230	16300000	919	170061300	76	1.0000	0	0	0	afc05fd0-1d98-4de9-b9ac-f69fe0f1d773	63740b8b-2f40-44c0-a96d-80a125a2208a
A-double-claim	agrees	Harriet M. Hageman	Representative	WY	0	H2WY00166	Harriet Hageman	H2WY00166	191	212912811	57084300	3414	495054200	191	1.0000	0	0	0	ee4b5b14-6d76-4ec4-998b-a66a0a4e9ffe	f4c02c90-c5de-47ef-9da0-a45cfd3beefd
A-double-claim	agrees	Haley M. Stevens	Representative	MI	11	H8MI11254	Haley Stevens	H8MI11254	436	204343720	203833100	7609	1491029600	436	1.0000	0	0	0	9e8dbddd-74d1-4d04-90b2-4682db860b6d	4de7fcb1-1513-45ca-9fc7-205e94a25fa5
A-double-claim	agrees	Andrew S. Clyde	Representative	GA	9	H0GA09246	Andrew Clyde	H0GA09246	289	188651496	71108700	836	181132800	285	0.9862	0	0	0	8a2787ae-0579-41ae-ab9a-3b7fa2a504e5	bcbc37b5-151f-42db-8b86-117fd2626c1e
A-double-claim	agrees	Sanford D. Bishop	Representative	GA	2	H2GA02031	Sanford Bishop	H2GA02031	428	175537592	174988900	3224	803740000	428	1.0000	0	0	0	ee01e913-2a9c-439d-8757-669964f0849e	b550b23b-6e07-4a94-956e-0c2016252d38
A-double-claim	agrees	Jill N. Tokuda	Representative	HI	2	H2HI02581	Jill Tokuda	H2HI02581	512	171902384	91656800	1657	243008000	512	1.0000	0	0	0	0fb6f422-90b5-4d2f-9ff7-44043b7ba138	23ae83ae-0aea-452d-b08e-817c839af038
A-double-claim	agrees	Gary J. Palmer	Representative	AL	6	H4AL06098	Gary Palmer	H4AL06098	446	168581800	155480000	1349	467774400	446	1.0000	0	0	0	b83ab586-59e0-4ad7-92b5-3ca9dc1f7743	d81d285e-d9df-4029-aac7-80d699e373e7
A-double-claim	agrees	Robin L. Kelly	Representative	IL	2	H2IL02172	Robin Kelly	H2IL02172	462	166221678	165971000	2876	583031700	462	1.0000	0	0	0	6a8536b9-811f-4ad2-b7bb-601ade45764f	0ccd2655-f1c7-4716-b55a-d72991a6fa8f
A-double-claim	agrees	John R. Carter	Representative	TX	31	H2TX31044	John Carter	H2TX31044	531	163093349	145398300	1773	415510600	529	0.9962	0	0	0	07d985c4-f17b-4408-8090-02e6f28edf35	f18d5815-8759-40ec-9e64-854136b9c257
A-double-claim	agrees	Jennifer L. McClellan	Representative	VA	4	H4VA04066	Jennifer Mcclellan	H4VA04066	696	161830784	155238000	1893	299355300	696	1.0000	0	0	0	cffffd7a-58e3-4ca3-b6ab-5342cbac5e6a	e391e548-c873-470d-895c-c92a54115f68
A-double-claim	agrees	Neal P. Dunn	Representative	FL	2	H6FL02208	Neal Dunn	H6FL02208	631	160958000	155399000	2124	403981800	631	1.0000	0	0	0	3c836a54-8ebf-4f8d-8031-12cdc12ac2ee	428b9a13-d9a7-4ffa-b773-608a69d424e1
A-double-claim	agrees	Angus S., Jr. King	Senator	ME	0	S2ME00109	Angus King	S2ME00109	346	157999800	154727800	2943	486451600	346	1.0000	0	0	34	40ff9a6f-ec9b-4fb1-8754-0bb84bad1b45	a1e158b4-d7d3-41b8-8adc-dfb2ad510c5b
A-double-claim	agrees	"Eric A. ""Rick"" Crawford"	Representative	AR	1	H0AR01083	Eric Crawford	H0AR01083	543	154288900	154288900	1619	357593700	543	1.0000	0	0	0	254330b4-1c0b-42a2-8802-b9e4318b0681	d67c74d7-a879-496f-984f-4babf066b575
A-double-claim	agrees	Rick W. Allen	Representative	GA	12	H2GA12121	Richard Allen	H2GA12121	646	152269800	152269800	2050	371032100	646	1.0000	0	0	0	442e7a70-f213-4643-bbc8-22881516a7f1	bd90e47d-4af3-456d-bf48-cb63be4c874e
A-double-claim	agrees	Kirsten E. Gillibrand	Senator	NY	0	S0NY00410	Kirsten Gillibrand	S0NY00410	397	150761350	144894400	3297	640341200	397	1.0000	0	0	41	248a39e9-ac14-4d3b-8657-f3a821fcf3e5	50f12b8a-075b-47ed-8d69-3705d626b5eb
A-double-claim	agrees	Johnny Olszewski	Representative	MD	2	H4MD02232	John Olszewski	H4MD02232	699	145813490	124662300	1521	263069500	699	1.0000	0	0	0	a8d4fc51-6a11-465a-bd95-5153ddfa8d7a	cda0ed3d-c390-40d6-b0c3-7659aa2c22ad
A-double-claim	agrees	James R. Baird	Representative	IN	4	H8IN04199	James Baird	H8IN04199	216	142055293	56470500	624	133303100	215	0.9954	0	0	0	85cd5e76-46ad-4973-bf9d-35b93e3b3360	c608f1cc-ccb7-49c7-ac3a-f118abbf2cbe
A-double-claim	agrees	Abraham J. Hamadeh	Representative	AZ	8	H4AZ08108	Abraham Hamadeh	H4AZ08108	59	131142965	14524000	801	179565200	59	1.0000	0	0	0	91edb2db-42c7-4241-8afb-3586e19cd7ed	4c4f1a8c-5f35-4644-b823-0568779a9eb7
A-double-claim	agrees	Michael T. McCaul	Representative	TX	10	H4TX10093	Michael Mccaul	H4TX10093	262	123007057	89103300	1953	502705300	254	0.9695	0	0	0	9059ea13-fd86-4359-8b3d-71ccbd0e19b5	b8702639-7893-429a-a752-01baf352275f
A-double-claim	agrees	Joseph D. Morelle	Representative	NY	25	H8NY25105	Joseph Morelle	H8NY25105	277	120225100	120225100	2398	597443700	277	1.0000	0	0	0	446f1569-bde2-49f1-8ed4-90ec19db7d07	27d58798-1abb-476f-a426-bf89b589a3c2
A-double-claim	agrees	Norma J. Torres	Representative	CA	35	H4CA35031	Norma Torres	H4CA35031	434	119455200	119100200	983	255141500	433	0.9977	0	0	0	33603f98-c597-4c3c-8419-90a5a5361252	43fee7e7-d8ee-4a06-95a9-86fcb83d3689
A-double-claim	agrees	Randy K. Sr. Weber	Representative	TX	14	H2TX14149	Randy Weber	H2TX14149	432	117863122	117426900	1454	328565200	431	0.9977	0	0	0	6461587d-53f4-4916-b548-79a509235455	e05c6ac7-65ac-496a-86f5-575cab7a4eba
A-double-claim	agrees	Stacey E. Plaskett	Representative	VI	0	H2VI00082	Stacey Plaskett	H2VI00082	480	111310500	111310500	1193	260003000	480	1.0000	0	0	0	88806ba3-54dc-4ec5-b21d-0a44c24feb0f	74ca66bf-379f-4e59-a738-781426a9bb48
A-double-claim	agrees	Robert J. Wittman	Representative	VA	1	H8VA01147	Robert Wittman	H8VA01147	224	101135000	101135000	3042	795921000	224	1.0000	0	0	0	f2477e01-cdd8-4ac0-badc-e7d69b1dc533	53eabeaa-f7a2-4fad-9136-4fb4fd842507
A-double-claim	agrees	Russ Fulcher	Representative	ID	1	H8ID01124	Russell Fulcher	H8ID01124	409	95261900	95261900	1039	206032200	409	1.0000	0	0	0	ab94496c-c294-449c-a72a-bb169e3681d8	df95102b-c96e-4a14-958b-8a8eebd97d5c
A-double-claim	agrees	Dan Crenshaw	Representative	TX	2	H8TX02166	Daniel Crenshaw	H8TX02166	268	87343112	87235100	8447	1035138800	268	1.0000	0	0	0	638cfc46-d4a9-4a4d-8d4d-17a284559de5	4f46b04a-ea6a-4178-87cc-7712fa342ba5
A-double-claim	agrees	Pat Fallon	Representative	TX	4	H0TX04219	Patrick Fallon	H0TX04219	326	87184314	87051500	820	193539900	326	1.0000	0	0	0	55daae4a-11f0-4ba7-b4a4-8c9592f5ba8c	ed31d86a-9811-4e3d-83d0-b6d7ceee9d7f
A-double-claim	agrees	Janice D. Schakowsky	Representative	IL	9	H8IL09067	Janice Schakowsky	H8IL09067	388	87024400	87024400	1722	350542000	388	1.0000	0	0	0	44ea5573-6bfd-4e3a-a627-c1428e04bfbc	db613396-9340-497b-a5e6-55df38fa7859
A-double-claim	agrees	Bennie G. Thompson	Representative	MS	2	H4MS02068	Bennie Thompson	H4MS02068	201	84820700	84820700	1838	452819100	201	1.0000	0	0	0	c598ba36-ab42-462b-80c4-9b6d6fcad056	bb4891c2-feaf-4a7f-931f-b3ca448d97ee
A-double-claim	agrees	Addison P. McDowell	Representative	NC	6	H4NC06177	Addison Mcdowell	H4NC06177	247	82458540	66330000	940	203141400	247	1.0000	0	0	0	587b2513-5591-4652-80e7-8991ff22ec7e	273e0e77-c546-4b47-a11f-24e34597aefe
A-double-claim	agrees	Salud O. Carbajal	Representative	CA	24	H6CA24303	Salud Carbajal	H6CA24303	205	81740844	77188500	2032	613721700	205	1.0000	0	0	0	7603155e-eea1-4b0e-af38-ed263410783a	5b5ce5eb-2ae3-4140-b62a-d03c787cd573
A-double-claim	agrees	"Henry C. ""Hank"" Johnson"	Representative	GA	4	H6GA04129	Henry Johnson	H6GA04129	231	80427100	80427100	840	216137400	231	1.0000	0	0	1	bea15555-6429-488a-a39f-2b5b4d4d53b9	91baa852-297e-40e7-9c79-ace3f83f43b4
